GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,match_score,domain_description,domain_topics,Project Size,Created Date,created_dt,age_days,total_smells,smell_density,age_category,domain,has_ci,size_category,commit_freq,team_size,activity_level
fepegar/torchio,Y,2273,1800,14026,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/fepegar/torchio/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/fepegar/torchio/tree/master/docs,Checking https://github.com/fepegar/torchio/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/fepegar/torchio/issues/215",https://github.com/fepegar/torchio/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-22,26,60,3249.2,3,Medical imaging processing for AI applications.,"augmentation, data-augmentation, deep-learning, machine-learning, medical-image-analysis, medical-image-computing, medical-image-processing, medical-images, medical-imaging-datasets, medical-imaging-with-deep-learning, python, pytorch",medium,2019-11-26T09:10:09Z,2019-11-26 09:10:09,2199,425,30.30086981320405,Young,Computer Vision,True,medium,298.9768076398363,Large,High
flatironinstitute/CaImAn,Y,688,4856,24964,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/flatironinstitute/CaImAn/graphs/contributorsshows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/flatironinstitute/CaImAn/tree/master/docs,Checking https://github.com/flatironinstitute/CaImAn/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/flatironinstitute/CaImAn/issues/780",https://github.com/flatironinstitute/CaImAn/blob/master/LICENSE.txt is provided,There are many files related to testing.,2025-07-17,10,60,3532.0,2,"Computational toolbox for large scale Calcium Imaging Analysis, including movie handling, motion correction, source extraction, spike deconvolution and result visualization.","2-photon, calcium-imaging, cnmf, deconvolution, motion-correction, source-extraction",medium,2015-08-06T13:58:45Z,2015-08-06 13:58:45,3772,1467,58.76462105431822,Mature,Computer Vision,True,medium,470.2158006362672,Large,High
google/automl,Y,6403,733,22342,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/automl/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/automl/tree/master/efficientdet/g3doc",Checking https://github.com/google/automl/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/automl/issues/572",https://github.com/google/automl/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-03-02,5,39,3951.1,3,Google Brain AutoML,"automl, efficientdet, efficientnet, efficientnetv2, object-detection",medium,2020-03-12T03:52:47Z,2020-03-12 03:52:47,2092,597,26.720973950407302,Young,Computer Vision,True,medium,127.97717495219885,Small,Low
google/qkeras,Y,571,451,23397,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/qkeras/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/google/qkeras/tree/master/qkeras/autoqkeras and https://github.com/google/qkeras/tree/master/qkeras",Checking https://github.com/google/qkeras/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/qkeras/issues/20",https://github.com/google/qkeras/blob/master/LICENSE is provided,There are many files related to testing.,2025-06-13,4,27,1173.7,3,QKeras: a quantization deep learning library for Tensorflow Keras,"accelerator, asic-design, deep-learning, fpga, fpga-accelerator, hardware-acceleration, keras, machine-learning, quantization, quantized-networks, quantized-neural-networks, tensorflow",medium,2019-08-06T22:11:58Z,2019-08-06 22:11:58,2311,640,27.35393426507672,Young,ML Frameworks / Libraries,True,medium,71.2798572046733,Small,Low
google-research/meta-dataset,Y,790,319,15178,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google-research/meta-dataset/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There are is a well maintained README and documentation at https://github.com/google-research/meta-dataset/tree/master/doc,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/google-research/google-research/issues/313",https://github.com/google-research/meta-dataset/blob/master/LICENSE is provided,There are few files related to testing.,2024-05-24,2,22,1071.7,3,A dataset of datasets for learning to learn from few examples,"benchmark, few-shot-learning, machine-learning, maml, meta-learning, tensorflow",medium,2019-03-05T18:39:08Z,2019-03-05 18:39:08,2465,1102,72.60508630913164,Young,ML Frameworks / Libraries,False,medium,47.26764705882353,Small,Low
google-research/tensor2robot,Y,560,237,16147,The source code of the project exists as ad-hoc scripts.,https://github.com/google-research/tensor2robot/graphs/contributors that there are multiple contributors.,CI is not used on the project.,"There is a well-maintained README, and the majority of the functions in https://github.com/google-research/tensor2robot/tree/master/models ",Checking https://github.com/google-research/tensor2robot/pulse/monthly there has been 8 commit activity in the past month.,The author of the project does not reply to issues or close them.,https://github.com/google-research/tensor2robot/blob/master/LICENSE is provided,There are few files related to testing.,2024-08-19,2,14,715.1,3,Distributed machine learning infrastructure for large-scale robotics research,,medium,2019-05-13T16:28:37Z,2019-05-13 16:28:37,2396,561,34.74329596829132,Young,ML Frameworks / Libraries,False,medium,36.12865191986644,Small,Low
GRAAL-Research/poutyne,Y,576,774,12874,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GRAAL-Research/poutyne/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/GRAAL-Research/poutyne/issues/72 and https://github.com/GRAAL-Research/poutyne/issues/40",https://github.com/GRAAL-Research/poutyne/blob/master/LICENSE is provided.,There are many files related to testing.,2025-05-05,8,20,1062.6,3,A simplified framework and utilities for PyTorch,"data-science, deep-learning, keras, machine-learning, neural-network, python, pytorch",medium,2017-12-07T18:30:17Z,2017-12-07 18:30:17,2918,178,13.826316607115116,Mature,ML Frameworks / Libraries,True,medium,96.88262508567512,Small,Low
IBM/AIF360,Y,2657,438,13835,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/AIF360/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity but quite stable,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/IBM/AIF360/issues/185 and https://github.com/IBM/AIF360/issues/45",https://github.com/IBM/AIF360/blob/master/LICENSE is provided.,There are many files related to testing.,2024-12-10,19,63,3084.2,5,"A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models.","ai, artificial-intelligence, bias, bias-correction, bias-detection, bias-finder, bias-reduction, codait, deep-learning, discrimination, fairness, fairness-ai, fairness-awareness-model, fairness-testing, ibm-research, ibm-research-ai, machine-learning, python, r, trusted-ai",medium,2018-08-22T20:47:15Z,2018-08-22 20:47:15,2660,660,47.70509577159378,Young,Computer Vision,True,medium,60.14266917293233,Large,Low
IBM/AIX360,Y,1735,633,17132,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/AIX360/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues but not often, as evidenced by https://github.com/IBM/AIX360/issues/46 and https://github.com/IBM/AIX360/issues/76",https://github.com/IBM/AIX360/blob/master/LICENSE is provided.,There are many files related to testing.,2025-02-26,10,26,1663.9,6,Interpretability and explainability of data and machine learning models,"artificial-intelligence, codait, deep-learning, explainabil, explainable-ai, explainable-ml, ibm-research, ibm-research-ai, machine-learning, trusted-ai, trusted-ml, xai",medium,2019-07-11T07:17:48Z,2019-07-11 07:17:48,2337,863,50.37356992762083,Young,Domain-Specific Applications,True,medium,98.9316431322208,Small,Low
interpretml/interpret-community,Y,435,486,10499,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/interpret-community/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues: https://github.com/interpretml/interpret-community/issues?q=is%3Aopen+is%3Aissue,https://github.com/interpretml/interpret-community/blob/master/LICENSE,There are many files related to testing.,2025-02-07,34,22,979.8,5,Interpret Community extends Interpret repository with additional interpretability techniques and utility functions to handle real-world datasets and workflows.,"deep-learning, explainer, explanationdashboard, interpretable-models, machine-learning, mimic-explainer, python, pytorch, tabular-explainer",medium,2019-09-25T15:43:56Z,2019-09-25 15:43:56,2261,767,73.05457662634537,Young,Reinforcement Learning,True,medium,78.51017249004865,Small,Low
